date,temperature
31-10-1961,16.13889313
01-11-1961,16.63742065
02-11-1961,17.58096313
03-11-1961,17.92446899
04-11-1961,18.42346001
05-11-1961,18.18063354
06-11-1961,18.11493492
07-11-1961,17.80591011
08-11-1961,17.81411171
09-11-1961,17.7599411
10-11-1961,17.3092823
11-11-1961,17.40648842
12-11-1961,16.90326118
13-11-1961,18.89993095
14-11-1961,17.89738846
15-11-1961,17.62847328
16-11-1961,17.72511673
17-11-1961,15.50236034
18-11-1961,15.01098061
19-11-1961,16.89727592
20-11-1961,16.40550613
21-11-1961,16.02106094
22-11-1961,14.94454479
23-11-1961,14.92153549
24-11-1961,15.14387131
25-11-1961,15.51010227
26-11-1961,16.84853554
27-11-1961,16.64211845
28-11-1961,14.89444637
29-11-1961,14.9606123
30-11-1961,14.59237385
01-12-1961,14.1691885
02-12-1961,14.07047367
03-12-1961,14.90320015
04-12-1961,14.25532818
05-12-1961,13.42713737
06-12-1961,12.60123539
07-12-1961,12.25900173
08-12-1961,12.16421223
09-12-1961,12.31175709
10-12-1961,12.30470467
11-12-1961,12.18771172
12-12-1961,12.83784103
13-12-1961,12.90503883
14-12-1961,12.46839714
15-12-1961,12.0763216
16-12-1961,13.28633499
17-12-1961,12.36688042
18-12-1961,10.33514118
19-12-1961,9.296243668
20-12-1961,8.776438713
21-12-1961,9.101355553
22-12-1961,7.781999588
23-12-1961,8.866776466
24-12-1961,10.01738548
25-12-1961,9.45532608
26-12-1961,9.426728249
27-12-1961,11.08838749
28-12-1961,11.81937504
29-12-1961,11.79807091
30-12-1961,11.96605873
31-12-1961,11.91092491
